#Chr,Start,End,Direct,Length,Sample,Type,Share_depth,Share_start,Share_end
5,21024835,21025499,ler_hete,665,Sample_14,20-2000bp,6,21024835,21025499
1,14914183,14914284,col_hete,102,Sample_5,20-2000bp,5,14499584,14922216
1,14921852,14922216,col_hete,365,Sample_5,20-2000bp,3,14499584,14922216
1,15056748,15057469,col_hete,722,Sample_5,20-2000bp,5,15054690,15058272
2,932765,933208,col_hete,444,Sample_5,20-2000bp,5,931461,933208
2,1126919,1127319,col_hete,401,Sample_5,20-2000bp,9,1126919,1127319
2,1135239,1135400,col_hete,162,Sample_5,20-2000bp,8,1135239,1135400
2,1391586,1393519,col_hete,1934,Sample_5,20-2000bp,10,1391586,1393519
2,1643106,1643940,col_hete,835,Sample_5,20-2000bp,9,1643106,1643940
2,2193725,2194813,col_hete,1089,Sample_5,20-2000bp,1,2193725,2194813
2,2204699,2204912,col_hete,214,Sample_5,20-2000bp,1,2204699,2204912
2,2251804,2252767,col_hete,964,Sample_5,20-2000bp,7,2247616,2253408
2,2311605,2311799,col_hete,195,Sample_5,20-2000bp,3,2311605,2311799
2,6117208,6117430,col_hete,223,Sample_5,20-2000bp,7,6117208,6117430
2,6120904,6122422,col_hete,1519,Sample_5,20-2000bp,4,6120904,6128608
2,18890480,18891110,col_hete,631,Sample_5,20-2000bp,6,18890480,18891110
3,8210301,8211247,col_hete,947,Sample_5,20-2000bp,7,8210301,8211247
3,8584970,8585009,col_hete,40,Sample_5,20-2000bp,9,8584970,8585009
3,9103219,9103764,col_hete,546,Sample_5,20-2000bp,13,9103139,9103773
3,9236916,9237528,col_hete,613,Sample_5,20-2000bp,10,9236916,9237528
3,9435026,9436297,col_hete,1272,Sample_5,20-2000bp,7,9435026,9436297
3,9740121,9740482,col_hete,362,Sample_5,20-2000bp,8,9739675,9740482
3,10514745,10514833,col_hete,89,Sample_5,20-2000bp,3,10514745,10514833
3,10663119,10663720,col_hete,602,Sample_5,20-2000bp,4,10663119,10663720
3,10718737,10718873,col_hete,137,Sample_5,20-2000bp,4,10718737,10718873
3,10902575,10902611,col_hete,37,Sample_5,20-2000bp,8,10902270,10902611
3,11097474,11098403,col_hete,930,Sample_5,20-2000bp,10,11097474,11098403
3,11325145,11325176,col_hete,32,Sample_5,20-2000bp,5,11325145,11325176
3,11451401,11451432,col_hete,32,Sample_5,20-2000bp,13,11451363,11451678
3,11452969,11453352,col_hete,384,Sample_5,20-2000bp,3,11452581,11453352
3,11643696,11643725,col_hete,30,Sample_5,20-2000bp,4,11643266,11643732
3,11676248,11676615,col_hete,368,Sample_5,20-2000bp,4,11676248,11676615
3,11692593,11692920,col_hete,328,Sample_5,20-2000bp,2,11692593,11692920
3,11698196,11698230,col_hete,35,Sample_5,20-2000bp,5,11696639,11699499
3,11817301,11817497,col_hete,197,Sample_5,20-2000bp,4,11817301,11817497
3,11818079,11818227,col_hete,149,Sample_5,20-2000bp,4,11818079,11818227
3,11888034,11888151,col_hete,118,Sample_5,20-2000bp,1,11888034,11888151
3,11972178,11972978,col_hete,801,Sample_5,20-2000bp,13,11972178,11972978
3,12389358,12390457,col_hete,1100,Sample_5,20-2000bp,8,12389358,12390457
3,12669089,12670171,col_hete,1083,Sample_5,20-2000bp,5,12669021,12670171
3,12695275,12695364,col_hete,90,Sample_5,20-2000bp,2,12695275,12695394
3,13102234,13103962,col_hete,1729,Sample_5,20-2000bp,6,13099442,13103962
3,13258812,13259053,col_hete,242,Sample_5,20-2000bp,4,13258812,13259053
3,13260354,13260655,col_hete,302,Sample_5,20-2000bp,7,13260354,13262203
3,13343189,13343468,col_hete,280,Sample_5,20-2000bp,3,13343189,13343468
3,13395218,13395383,col_hete,166,Sample_5,20-2000bp,2,13395218,13395383
3,13432842,13432878,col_hete,37,Sample_5,20-2000bp,5,13429574,13434387
3,13504671,13505454,col_hete,784,Sample_5,20-2000bp,4,13504671,13506963
3,13506519,13506963,col_hete,445,Sample_5,20-2000bp,2,13504671,13506963
3,13567300,13567490,col_hete,191,Sample_5,20-2000bp,2,13567300,13567490
3,14047186,14047415,col_hete,230,Sample_5,20-2000bp,2,14047186,14047415
3,14164390,14165184,col_hete,795,Sample_5,20-2000bp,3,14164390,14165184
3,14360387,14361239,col_hete,853,Sample_5,20-2000bp,7,14360387,14361239
3,14790827,14790931,col_hete,105,Sample_5,20-2000bp,1,14790827,14790931
3,14904420,14904835,col_hete,416,Sample_5,20-2000bp,3,14904074,14904835
3,14969766,14970435,col_hete,670,Sample_5,20-2000bp,4,14969766,14970435
3,15089726,15090126,col_hete,401,Sample_5,20-2000bp,6,15089233,15090126
3,15140733,15141841,col_hete,1109,Sample_5,20-2000bp,4,15140046,15141841
3,15247086,15247106,col_hete,21,Sample_5,20-2000bp,3,15247072,15247106
3,15247453,15247579,col_hete,127,Sample_5,20-2000bp,3,15247453,15247579
3,15265697,15265744,col_hete,48,Sample_5,20-2000bp,4,15265697,15265744
3,15283885,15283954,col_hete,70,Sample_5,20-2000bp,4,15283885,15284312
3,15283995,15284268,col_hete,274,Sample_5,20-2000bp,4,15283885,15284312
3,15574348,15574378,col_hete,31,Sample_5,20-2000bp,3,15574348,15574378
3,15585755,15586101,col_hete,347,Sample_5,20-2000bp,4,15585755,15586101
3,15586308,15586345,col_hete,38,Sample_5,20-2000bp,4,15586308,15586345
3,15698730,15699266,col_hete,537,Sample_5,20-2000bp,3,15698625,15699266
3,15699302,15699443,col_hete,142,Sample_5,20-2000bp,2,15699302,15699443
3,15796293,15796386,col_hete,94,Sample_5,20-2000bp,5,15796293,15796757
3,15796546,15796757,col_hete,212,Sample_5,20-2000bp,5,15796293,15796757
3,15813376,15813962,col_hete,587,Sample_5,20-2000bp,15,15813376,15813962
3,15848404,15848436,col_hete,33,Sample_5,20-2000bp,4,15848404,15848436
3,15922499,15922575,col_hete,77,Sample_5,20-2000bp,2,15922499,15922575
3,15922892,15923017,col_hete,126,Sample_5,20-2000bp,1,15922892,15923017
3,16071469,16071870,col_hete,402,Sample_5,20-2000bp,7,16071469,16071870
3,16207526,16209112,col_hete,1587,Sample_5,20-2000bp,8,16207526,16209164
3,16258818,16259483,col_hete,666,Sample_5,20-2000bp,10,16258818,16262505
3,16262243,16262373,col_hete,131,Sample_5,20-2000bp,9,16258818,16262505
3,16420798,16420827,col_hete,30,Sample_5,20-2000bp,4,16420798,16420827
3,16716224,16717796,col_hete,1573,Sample_5,20-2000bp,17,16716224,16717796
3,16799136,16799676,col_hete,541,Sample_5,20-2000bp,12,16799136,16800555
3,16799804,16799890,col_hete,87,Sample_5,20-2000bp,12,16799136,16800555
3,16800170,16800555,col_hete,386,Sample_5,20-2000bp,12,16799136,16800555
3,16890875,16891113,col_hete,239,Sample_5,20-2000bp,3,16890875,16891113
3,17866202,17866443,col_hete,242,Sample_5,20-2000bp,7,17866202,17866697
3,17866590,17866697,col_hete,108,Sample_5,20-2000bp,7,17866202,17866697
3,18724439,18724705,col_hete,267,Sample_5,20-2000bp,7,18724439,18724705
3,18724762,18725219,col_hete,458,Sample_5,20-2000bp,7,18724762,18725219
4,67396,67433,col_hete,38,Sample_5,20-2000bp,1,67396,67433
5,7028182,7028210,col_hete,29,Sample_5,20-2000bp,1,7028182,7028210
5,7028491,7028609,col_hete,119,Sample_5,20-2000bp,2,7028491,7028609
5,7029041,7029081,col_hete,41,Sample_5,20-2000bp,3,7029041,7029108
5,7029636,7029693,col_hete,58,Sample_5,20-2000bp,3,7029636,7029774
5,7030693,7030794,col_hete,102,Sample_5,20-2000bp,3,7030693,7030794
5,7031256,7031276,col_hete,21,Sample_5,20-2000bp,2,7031256,7031276
5,7032812,7032962,col_hete,151,Sample_5,20-2000bp,3,7032812,7032962
5,7034163,7034769,col_hete,607,Sample_5,20-2000bp,13,7034163,7034769
5,7036074,7036422,col_hete,349,Sample_5,20-2000bp,3,7036074,7036422
5,7036801,7036885,col_hete,85,Sample_5,20-2000bp,4,7036801,7036885
5,7037054,7037131,col_hete,78,Sample_5,20-2000bp,3,7037054,7037131
5,7037318,7037385,col_hete,68,Sample_5,20-2000bp,3,7037318,7037385
5,7037973,7038014,col_hete,42,Sample_5,20-2000bp,3,7037973,7038014
5,7038391,7038425,col_hete,35,Sample_5,20-2000bp,3,7038391,7038563
5,7039400,7039430,col_hete,31,Sample_5,20-2000bp,2,7039323,7039430
5,10578941,10579000,ler_hete,60,Sample_5,20-2000bp,6,10578941,10579000
5,10699181,10699214,ler_hete,34,Sample_5,20-2000bp,1,10699181,10699214
5,11017379,11017454,col_ler,76,Sample_5,20-2000bp,10,11017379,11017454
5,11309819,11310914,ler_hete,1096,Sample_5,20-2000bp,5,11309324,11310914
5,12291445,12292180,ler_hete,736,Sample_5,20-2000bp,2,12291445,12292180
5,12444763,12444849,ler_hete,87,Sample_5,20-2000bp,2,12444763,12444849
5,12706059,12706127,col_ler,69,Sample_5,20-2000bp,2,12706059,12706127
5,13127009,13127279,ler_hete,271,Sample_5,20-2000bp,8,13127009,13127279
5,13544042,13545349,col_ler,1308,Sample_5,20-2000bp,8,13521850,13545349
5,13943287,13943379,ler_hete,93,Sample_5,20-2000bp,1,13943287,13943379
5,15246144,15246249,ler_hete,106,Sample_5,20-2000bp,4,15246115,15246249
5,15262115,15262154,ler_hete,40,Sample_5,20-2000bp,6,15262115,15262154
5,15906912,15907065,ler_hete,154,Sample_5,20-2000bp,5,15906912,15907065
5,16125222,16125663,ler_hete,442,Sample_5,20-2000bp,5,16125222,16125663
5,16425717,16426754,ler_hete,1038,Sample_5,20-2000bp,7,16425717,16426754
5,16528756,16528959,ler_hete,204,Sample_5,20-2000bp,4,16528756,16528959
5,17860994,17861058,ler_hete,65,Sample_5,20-2000bp,5,17860994,17861412
5,17914695,17915677,ler_hete,983,Sample_5,20-2000bp,3,17914695,17915677
5,18338868,18339592,ler_hete,725,Sample_5,20-2000bp,2,18338868,18339592
5,18352889,18352933,ler_hete,45,Sample_5,20-2000bp,1,18352889,18352933
5,18625350,18626981,ler_hete,1632,Sample_5,20-2000bp,5,18625350,18626981
5,18699515,18700265,ler_hete,751,Sample_5,20-2000bp,7,18699515,18700265
5,18986761,18987780,ler_hete,1020,Sample_5,20-2000bp,3,18986761,18987780
5,19619801,19619877,ler_hete,77,Sample_5,20-2000bp,2,19619801,19619877
5,20370227,20370342,ler_hete,116,Sample_5,20-2000bp,3,20370227,20370342
5,20658085,20658704,ler_hete,620,Sample_5,20-2000bp,4,20658085,20658704
5,20899074,20899588,ler_hete,515,Sample_5,20-2000bp,8,20899074,20900354
5,22179986,22180057,ler_hete,72,Sample_5,20-2000bp,7,22179986,22180057
5,22485528,22485740,ler_hete,213,Sample_5,20-2000bp,7,22485528,22485740
5,22547655,22547689,ler_hete,35,Sample_5,20-2000bp,6,22547655,22547689
5,22764189,22764670,ler_hete,482,Sample_5,20-2000bp,7,22764189,22764670
5,23646149,23646296,ler_hete,148,Sample_5,20-2000bp,5,23646149,23646296
5,23835957,23836188,ler_hete,232,Sample_5,20-2000bp,5,23835957,23836188
5,23900129,23900239,ler_hete,111,Sample_5,20-2000bp,2,23900129,23900239
5,24649045,24649917,ler_hete,873,Sample_5,20-2000bp,7,24649045,24649917
5,24674874,24675029,ler_hete,156,Sample_5,20-2000bp,4,24674874,24675029
5,25231749,25232058,ler_hete,310,Sample_5,20-2000bp,8,25231749,25232060
5,25397827,25397948,ler_hete,122,Sample_5,20-2000bp,3,25397827,25397948
5,25422735,25422964,ler_hete,230,Sample_5,20-2000bp,7,25422735,25422964
5,25505943,25506311,ler_hete,369,Sample_5,20-2000bp,2,25505943,25506311
5,25587691,25588166,ler_hete,476,Sample_5,20-2000bp,6,25587691,25588166
5,25662204,25662730,ler_hete,527,Sample_5,20-2000bp,2,25662204,25662730
5,25859031,25859304,ler_hete,274,Sample_5,20-2000bp,7,25859031,25859845
5,26003960,26004258,ler_hete,299,Sample_5,20-2000bp,7,26003960,26004258
1,16027807,16028441,ler_hete,635,Sample_6,20-2000bp,1,16027807,16028441
1,16043493,16043879,ler_hete,387,Sample_6,20-2000bp,2,16043493,16044385
1,16193895,16194540,ler_hete,646,Sample_6,20-2000bp,2,16193895,16194540
1,16341114,16341256,ler_hete,143,Sample_6,20-2000bp,7,16341114,16341348
1,16389131,16389196,ler_hete,66,Sample_6,20-2000bp,1,16389131,16389196
1,16550930,16550979,ler_hete,50,Sample_6,20-2000bp,1,16550930,16550979
1,16606202,16606433,ler_hete,232,Sample_6,20-2000bp,4,16606202,16606433
1,16863220,16863720,ler_hete,501,Sample_6,20-2000bp,4,16863220,16863720
1,17313092,17313121,ler_hete,30,Sample_6,20-2000bp,13,17313092,17317452
1,17518622,17518688,ler_hete,67,Sample_6,20-2000bp,1,17518622,17518688
1,17585992,17586925,ler_hete,934,Sample_6,20-2000bp,3,17585992,17587276
1,17917965,17918412,ler_hete,448,Sample_6,20-2000bp,1,17917965,17918412
1,17962453,17962635,ler_hete,183,Sample_6,20-2000bp,8,17962453,17962635
1,18068477,18069863,ler_hete,1387,Sample_6,20-2000bp,1,18068477,18069863
1,18329284,18329594,ler_hete,311,Sample_6,20-2000bp,1,18329284,18329594
1,18332164,18332211,ler_hete,48,Sample_6,20-2000bp,1,18332164,18332211
1,18339391,18339497,ler_hete,107,Sample_6,20-2000bp,10,18338925,18339714
1,18348352,18348857,ler_hete,506,Sample_6,20-2000bp,3,18348352,18348857
1,18364561,18365666,ler_hete,1106,Sample_6,20-2000bp,2,18364561,18365666
1,18630867,18630906,ler_hete,40,Sample_6,20-2000bp,1,18630867,18630906
1,19070841,19070922,ler_hete,82,Sample_6,20-2000bp,6,19070838,19070934
1,19254662,19254707,ler_hete,46,Sample_6,20-2000bp,2,19254662,19254707
1,19305313,19305370,ler_hete,58,Sample_6,20-2000bp,1,19305313,19305370
1,19825969,19826033,ler_hete,65,Sample_6,20-2000bp,1,19825969,19826033
1,20152631,20152966,ler_hete,336,Sample_6,20-2000bp,2,20152631,20152966
1,20554023,20555794,ler_hete,1772,Sample_6,20-2000bp,7,20554023,20555794
1,20956165,20956763,ler_hete,599,Sample_6,20-2000bp,7,20956165,20956763
1,21314877,21315011,ler_hete,135,Sample_6,20-2000bp,1,21314877,21315011
1,21871423,21871465,ler_hete,43,Sample_6,20-2000bp,1,21871423,21871465
1,21977082,21977203,ler_hete,122,Sample_6,20-2000bp,1,21977082,21977203
1,22180312,22180384,ler_hete,73,Sample_6,20-2000bp,6,22180312,22180384
1,22271711,22271946,ler_hete,236,Sample_6,20-2000bp,1,22271711,22271946
1,22321442,22321503,ler_hete,62,Sample_6,20-2000bp,1,22321442,22321503
1,22387574,22387593,ler_hete,20,Sample_6,20-2000bp,1,22387574,22387593
1,22394532,22394594,ler_hete,63,Sample_6,20-2000bp,1,22394532,22394594
1,22521998,22522167,ler_hete,170,Sample_6,20-2000bp,1,22521998,22522167
1,22816156,22816216,ler_hete,61,Sample_6,20-2000bp,2,22816156,22816216
1,22872549,22873111,ler_hete,563,Sample_6,20-2000bp,3,22872549,22873111
1,22891358,22891385,ler_hete,28,Sample_6,20-2000bp,1,22891358,22891385
1,22959156,22959796,ler_hete,641,Sample_6,20-2000bp,1,22959156,22959796
1,22960034,22960299,ler_hete,266,Sample_6,20-2000bp,1,22960034,22960299
1,23057762,23057869,ler_hete,108,Sample_6,20-2000bp,1,23057762,23057869
1,23094571,23094627,ler_hete,57,Sample_6,20-2000bp,1,23094571,23094627
1,23277067,23277089,ler_hete,23,Sample_6,20-2000bp,2,23277067,23277089
1,23328430,23328811,ler_hete,382,Sample_6,20-2000bp,1,23328430,23328811
1,23726414,23727893,ler_hete,1480,Sample_6,20-2000bp,4,23726414,23727893
1,23823095,23823175,ler_hete,81,Sample_6,20-2000bp,1,23823095,23823175
1,23843220,23843296,ler_hete,77,Sample_6,20-2000bp,1,23843220,23843296
1,23863039,23863174,ler_hete,136,Sample_6,20-2000bp,3,23863039,23863174
1,24217246,24217515,ler_hete,270,Sample_6,20-2000bp,4,24217246,24217521
1,24256807,24257258,ler_hete,452,Sample_6,20-2000bp,2,24256807,24257258
1,24646868,24647107,ler_hete,240,Sample_6,20-2000bp,2,24646868,24647107
1,25096501,25096872,ler_hete,372,Sample_6,20-2000bp,4,25096501,25096872
1,25171819,25172051,ler_hete,233,Sample_6,20-2000bp,1,25171819,25172051
1,25333063,25333652,ler_hete,590,Sample_6,20-2000bp,3,25333063,25333652
1,25338273,25338696,ler_hete,424,Sample_6,20-2000bp,3,25338273,25338696
1,25552236,25553736,ler_hete,1501,Sample_6,20-2000bp,4,25552236,25553736
1,25730498,25731216,ler_hete,719,Sample_6,20-2000bp,1,25730498,25731216
1,26032871,26033071,ler_hete,201,Sample_6,20-2000bp,1,26032871,26033071
1,26174482,26174792,ler_hete,311,Sample_6,20-2000bp,1,26174482,26174792
1,26258758,26258825,ler_hete,68,Sample_6,20-2000bp,1,26258758,26258825
1,26321014,26321300,ler_hete,287,Sample_6,20-2000bp,1,26321014,26321300
1,26329174,26329446,ler_hete,273,Sample_6,20-2000bp,1,26329174,26329446
1,26338218,26338968,ler_hete,751,Sample_6,20-2000bp,4,26338218,26338968
