chr	first	last	type
chr13	667024	667764	total
chr13	773437	774964	total
chr13	795259	796278	total
chr13	851822	851843	total
chr13	861520	862222	total
chr13	914574	916913	total
chr14	58194	60028	total
chr14	186913	187950	total
chr14	197775	197788	total
chr14	300020	300266	total
chr14	694276	695042	total
chr15	39942	41836	total
chr15	194199	195643	total
chr15	448988	449206	total
chr15	670896	671651	total
chr15	942757	944426	total
chr15	987407	989361	total
chr16	46436	46870	total
chr16	73475	75920	total
chr16	132625	132679	total
chr16	166774	167736	total
chr16	226313	226506	total
chr16	502051	502115	total
chr16	520402	520759	total
chr16	656008	658346	total
chr16	840260	840477	total
chr16	888088	889931	total
chr01	57157	59229	CO
chr01	67478	72952	CO
chr01	128758	132930	CO
chr01	190184	191811	CO
chr02	70167	72014	CO
chr02	490625	491032	CO
chr02	633956	635571	CO
chr02	735228	737565	CO
chr03	51651	53890	CO
chr03	57858	62385	CO
chr03	146419	148615	CO
chr03	210632	214656	CO
chr03	246579	248849	CO
chr04	172968	173380	CO
chr04	263774	264133	CO
chr04	366676	367441	CO
chr04	521774	525678	CO
chr04	835974	836352	CO
chr04	930057	931008	CO
chr04	1419509	1421121	CO
chr04	1477498	1479394	CO
chr05	26323	28311	CO
chr05	194101	196104	CO
chr05	198126	198536	CO
chr05	222207	223616	CO
chr05	335338	337667	CO
chr05	460004	462456	CO
chr06	54495	56852	CO
chr06	64249	65799	CO
chr06	75094	75352	CO
chr06	94155	97232	CO
chr06	221517	226357	CO
chr07	23407	23601	CO
chr07	41269	41379	CO
chr07	396954	397485	CO
chr07	472044	473083	CO
chr07	592949	593141	CO
chr07	609365	610677	CO
chr07	1010462	1010939	CO
chr08	65564	68348	CO
chr08	121473	121603	CO
chr08	143818	144245	CO
chr08	185760	189135	CO
chr08	421697	423048	CO
chr08	515105	518403	CO
chr09	51898	56255	CO
chr09	149759	149974	CO
chr09	177964	179394	CO
chr09	421488	422690	CO
chr09	423933	424249	CO
chr10	35036	37924	CO
chr10	79092	80052	CO
chr10	236078	237983	CO
chr10	315862	316983	CO
chr10	359273	362310	CO
chr10	464559	468410	CO
chr10	576836	580182	CO
chr10	636802	640704	CO
chr10	682898	684062	CO
chr11	39129	39184	CO
chr11	67864	68804	CO
chr11	401745	403390	CO
chr11	523535	527054	CO
chr11	614628	614875	CO
chr12	252878	254691	CO
chr12	281291	282741	CO
chr12	340823	341688	CO
chr12	415539	417755	CO
chr12	512181	514741	CO
chr12	609944	612239	CO
chr12	765567	767242	CO
chr12	1012273	1013588	CO
chr13	25640	27947	CO
chr13	409643	410658	CO
chr13	499738	501909	CO
chr13	795259	796278	CO
chr13	798262	798887	CO
chr14	196821	197080	CO
chr14	299518	300266	CO
chr14	301293	301648	CO
chr14	694276	695042	CO
chr15	40593	42173	CO
chr15	194516	195071	CO
chr15	670524	670961	CO
chr15	770622	770734	CO
chr15	942757	944426	CO
chr15	987665	992004	CO
chr16	74886	75306	CO
chr16	166774	167736	CO
chr16	463541	464555	CO
chr16	840260	840477	CO
chr16	888088	890075	CO
chr01	60269	61585	NCO
chr01	115169	115339	NCO
chr01	168783	170016	NCO
chr02	69126	70521	NCO
chr02	124178	124961	NCO
chr03	51420	51649	NCO
chr03	105665	106307	NCO
chr03	208699	214656	NCO
chr03	216039	216395	NCO
chr04	198380	200220	NCO
chr04	285901	285993	NCO
chr04	303052	305679	NCO
chr04	524806	525246	NCO
chr04	593119	593812	NCO
chr04	632651	637207	NCO
chr04	837951	838110	NCO
chr04	845957	848132	NCO
chr04	1265344	1267092	NCO
chr04	1409787	1409838	NCO
chr05	26266	28081	NCO
chr05	41546	42237	NCO
chr05	335338	335921	NCO
chr05	402395	402717	NCO
chr05	525071	526086	NCO
chr06	73334	76439	NCO
chr06	226171	226357	NCO
chr07	22790	24074	NCO
chr07	272673	273133	NCO
chr07	471876	472376	NCO
chr07	609365	612762	NCO
chr07	802502	802836	NCO
chr07	1011379	1011508	NCO
chr08	141879	143941	NCO
chr08	341492	342159	NCO
chr08	483397	485521	NCO
chr08	515105	517717	NCO
chr09	53104	56156	NCO
chr10	146950	147139	NCO
chr10	159545	160669	NCO
chr10	187652	187779	NCO
chr10	391653	391901	NCO
chr10	466448	467002	NCO
chr10	572444	572928	NCO
chr10	576545	576834	NCO
chr11	219533	219710	NCO
chr11	225752	226302	NCO
chr11	380898	381363	NCO
chr11	527056	528999	NCO
chr11	581470	581615	NCO
chr12	54071	54224	NCO
chr12	86369	87284	NCO
chr12	107406	109153	NCO
chr12	127531	129762	NCO
chr12	253276	253399	NCO
chr12	328288	328383	NCO
chr12	513573	515724	NCO
chr12	535116	535964	NCO
chr12	702588	702789	NCO
chr12	780842	781670	NCO
chr12	868276	872567	NCO
chr12	1011127	1013588	NCO
chr13	25640	26921	NCO
chr13	347366	347625	NCO
chr13	387573	389029	NCO
chr13	557358	558625	NCO
chr13	915125	916913	NCO
chr14	186913	187950	NCO
chr14	479347	479395	NCO
chr14	695044	695953	NCO
chr15	288815	290268	NCO
chr15	448988	449766	NCO
chr16	520402	521053	NCO
chr16	527229	527340	NCO
chr16	676952	677135	NCO
