chr	first	last	size	tetrad	spores	type
chr15	882441.5	882735.5	295	msh4_2	b	C
chr16	74537.5	75096.25	559.75	msh4_2	d	C
chr16	227690	228319.5	630.5	msh4_2	c	C
chr16	339493.5	341794	2301.5	msh4_2	b	C
chr16	476421	480297.5	3877.5	msh4_2	a,d	X
chr16	754158.5	755441	1283.5	msh4_2	d,a	X
chr16	898752	901230	2479	msh4_2	a	C
chr01	57762	58698.5	937.5	msh4_3	a	C
chr01	74172.75	76698.5	2526.75	msh4_3	c,b	X
chr02	407857	410083.5	2227.5	msh4_3	d,a	X
chr02	489458.5	491639	2181.5	msh4_3	a,b	X
chr02	524367	529690	5324	msh4_3	c	C
chr03	227790.5	227790.5	NA	msh4_3	a,c	X
chr03	232377.5	233419	1042.5	msh4_3	b,d	X
chr04	302737	303649.5	913.5	msh4_3	a	C
chr04	392661.5	394929	2268.5	msh4_3	a,d	X
chr04	621314.5	625068	3754.5	msh4_3	d	C
chr04	856099.5	857158.5	1060	msh4_3	c,b	X
chr04	1214392.5	1214487.75	NA	msh4_3	b,c	X
chr04	1317288	1319721	2434	msh4_3	b,c	X
chr05	41962.5	43738.5	1777	msh4_3	c,b	X
chr05	173940	175496	1557	msh4_3	c,b	X
chr05	241095.5	241181.5	87	msh4_3	d	C
chr05	241095.5	241347	252.5	msh4_3	b	C
chr05	264094.5	265160.5	1067	msh4_3	a	C
chr05	400155	402482.5	2328.5	msh4_3	b,c	X
chr05	517007	520304.5	3298.5	msh4_3	d,b	X
chr05	543387.5	546166	2779.5	msh4_3	d	C
chr06	62932	66154	3223	msh4_3	b,d	M
chr06	187706.5	189318.5	1613	msh4_3	d,b	X
chr06	225962.5	231513.5	5552	msh4_3	b,a	M
chr06	244173	246503	2331	msh4_3	a	C
chr07	275723.5	278045	2322.5	msh4_3	d	C
chr07	344769.5	346382	1613.5	msh4_3	c,d	X
chr07	363321	364574.5	1254.5	msh4_3	d	C
chr07	443495.5	443827	332.5	msh4_3	b,c	X
chr07	587571	590086	2516	msh4_3	a,c	X
chr07	674572.5	680714.5	6143	msh4_3	c,a	X
chr07	1010628.5	1011748	1120.5	msh4_3	b	C
chr07	1011748	1013518.5	1771.5	msh4_3	c	C
chr08	120956	129413.25	8458.25	msh4_3	c	C
chr08	137838	138890	1053	msh4_3	a	C
chr08	326415.5	328952	2537.5	msh4_3	b	C
chr08	442799	444774.5	1976.5	msh4_3	a,d	X
chr08	463072.5	465383	2311.5	msh4_3	c	C
chr08	515941.5	518500	2559.5	msh4_3	b,a	X
chr09	53361	53982	622	msh4_3	b	C
chr09	335186.5	341019	5833.5	msh4_3	d,a	M
chr10	140712.5	144637.5	3926	msh4_3	b,c	M
chr10	320444	321087.5	644.5	msh4_3	c,b	X
chr10	388926	395583.75	6658.75	msh4_3	d	C
chr10	461235.5	462767	1532.5	msh4_3	b	C
chr10	571968	579308.5	7341.5	msh4_3	c,b	M
chr10	635845.5	637762.5	1918	msh4_3	b,c	X
chr10	688870.5	693570	4700.5	msh4_3	d	C
chr11	43958	45451	1494	msh4_3	b	C
chr11	80148	81866	1719	msh4_3	d	C
chr11	113307	115842	2536	msh4_3	c,b	X
chr11	170362.5	171877	1515.5	msh4_3	a	C
chr11	239551.5	239551.5	NA	msh4_3	a,b	X
chr11	399971.5	402567.5	2597	msh4_3	a,c	X
chr12	39849.5	41818.5	1970	msh4_3	d,b	X
chr12	83801	85999.5	2199.5	msh4_3	c,a	X
chr12	224980.5	227593	2613.5	msh4_3	b	C
chr12	234278.5	235525.5	1248	msh4_3	a	C
chr12	253076	254843.5	1768.5	msh4_3	d,a	X
chr12	279053	280565.5	1513.5	msh4_3	d	C
chr12	280565.5	280948.5	384	msh4_3	c	C
chr12	540405	544650	4246	msh4_3	c	C
chr12	543355	543511	157	msh4_3	d	C
chr12	554170.5	556948.5	2779	msh4_3	c,d	M
chr12	901760	903838.5	2079.5	msh4_3	b,d	X
chr12	1053239	1054307.25	NA	msh4_3	b,d	X
chr12	1056968	1057484.25	517.25	msh4_3	c	C
chr13	43726.5	43726.5	NA	msh4_3	a,b	X
chr13	146149.5	146774	625.5	msh4_3	b	C
chr13	170299.5	174907.5	4609	msh4_3	d,b	X
chr13	345041	348795	3755	msh4_3	b,c	M
chr13	366772.5	367015	243.5	msh4_3	d	C
chr13	719974.5	720750.5	777	msh4_3	d	C
chr13	821911.5	825074.5	3164	msh4_3	a,b	X
chr13	828721.5	834476	5755.5	msh4_3	d,c	X
chr14	69583.5	69583.5	NA	msh4_3	b,d	X
chr14	258737.5	259307.5	571	msh4_3	b	C
chr14	299768	302886.5	3119.5	msh4_3	d	C
chr14	339198.5	341429.5	2232	msh4_3	b	C
chr14	489871.5	492145	2274.5	msh4_3	b,d	X
chr14	710552	712650	2099	msh4_3	c,a	X
chr15	134940	136232.5	1293.5	msh4_3	d,b	X
chr15	195358	197259	1902	msh4_3	a	C
chr15	201588	204818.5	3231.5	msh4_3	c	CC
chr15	478228	479106	879	msh4_3	b	C
chr15	768241	769304.5	1064.5	msh4_3	a	C
chr16	411388.5	417023.5	5636	msh4_3	d	C
chr16	463236.5	464105	869.5	msh4_3	b	C
chr16	564944	569829.5	4886.5	msh4_3	a,d	X
chr16	705554	707305	1752	msh4_3	d	C
chr16	927640.5	929999.75	2360.25	msh4_3	d,a	X
chr01	31788	32711	924	msh4_4	a	C
chr01	128523	130197.5	1675.5	msh4_4	d	C
chr02	287718.5	288719.5	1002	msh4_4	c	C
chr02	514617	515824	1208	msh4_4	b	C
chr02	556031	556185	155	msh4_4	c	C
chr02	564290.5	567125	2835.5	msh4_4	d,b	X
chr02	566684.5	567125	441.5	msh4_4	c	C
chr02	630377.5	634763.5	4387	msh4_4	b,a	X
chr02	790254	793989	3736	msh4_4	a,d	X
chr03	41711	41711	NA	msh4_4	a,b	X
chr03	91129.5	93285.5	2157	msh4_4	a,c	M
chr03	132325.5	132325.5	NA	msh4_4	b,c	X
chr04	79983.5	81681.5	1699	msh4_4	b	C
chr04	164622.5	166516.5	1895	msh4_4	b,c	X
chr04	240303.5	246706.5	6404	msh4_4	a	CC
chr04	244208.5	245363.5	1156	msh4_4	c	C
chr04	884547.5	886938.5	2392	msh4_4	b	C
chr04	951965.5	952804	839.5	msh4_4	d	C
chr04	1086152	1100718.5	14567.5	msh4_4	d	C
chr04	1329235.5	1329235.5	NA	msh4_4	a,c	X
chr04	1343069	1343407	339	msh4_4	b,a	X
chr05	27438	28467	1030	msh4_4	d,b	X
chr05	66663.75	70593.5	3930.75	msh4_4	c	C
chr05	346832.5	350334	3502.5	msh4_4	c,a	X
chr05	517007	520350.5	3344.5	msh4_4	d,c	X
chr05	567923.5	568033.5	111	msh4_4	d,c	X
chr06	87058.5	89243	2185.5	msh4_4	c	CC
chr06	93716	94745.5	1030.5	msh4_4	a,c	M
chr06	228924	230410	1487	msh4_4	c	C
chr06	247509	249531	2023	msh4_4	a	C
chr07	84262	84520.5	259.5	msh4_4	a	C
chr07	271609.5	271961.5	353	msh4_4	b	C
chr07	445626.5	450835	5209.5	msh4_4	d,a	X
chr07	738225	741260	3036	msh4_4	b	C
chr07	884024.5	886306.5	2283	msh4_4	b,d	X
chr07	911786.5	915383	3597.5	msh4_4	a,c	X
chr07	967110	968506	1397	msh4_4	c	C
chr08	338879.5	342875	3996.5	msh4_4	b,c	X
chr08	400572	402029.5	1458.5	msh4_4	a,b	X
chr09	141526.5	141526.5	NA	msh4_4	c,d	X
chr09	216058	217014.5	957.5	msh4_4	a,c	X
chr09	249989	251119	1131	msh4_4	b	C
chr09	266223.5	266794	571.5	msh4_4	b	C
chr09	266900.5	268585.5	1686	msh4_4	c	C
chr09	397728.5	398529.5	802	msh4_4	c	C
chr09	414583	415058	476	msh4_4	b,d	X
chr09	415724	416034	311	msh4_4	c	C
chr10	161131.5	162480	1349.5	msh4_4	d	C
chr10	224451.5	228461	4010.5	msh4_4	c,a	X
chr10	246081.5	249567	3486.5	msh4_4	d,a	X
chr10	290474.5	292034	1560.5	msh4_4	a	C
chr10	310071.5	310744.5	674	msh4_4	b,a	X
chr10	391452	392104.5	653.5	msh4_4	d,b	X
chr10	464472.5	464786	314.5	msh4_4	a	C
chr11	34791	39542.5	4752.5	msh4_4	b	C
chr11	69751	71298	1548	msh4_4	d	C
chr11	95968	96837.5	870.5	msh4_4	d	C
chr11	111296	111957	662	msh4_4	a	C
chr11	210108.5	211526	1418.5	msh4_4	c,d	M
chr11	263093	263093	NA	msh4_4	b,c	X
chr11	310084	310243.5	160.5	msh4_4	a	C
chr11	401472.5	403865	2393.5	msh4_4	c	C
chr11	528161	530713.25	2553.25	msh4_4	a,c	X
chr11	625225	626134	910	msh4_4	c,d	X
chr12	35521	37392.5	1872.5	msh4_4	d	C
chr12	87466	87639.5	174.5	msh4_4	a	C
chr12	177062	180433	3372	msh4_4	d,b	X
chr12	677513	678702	1190	msh4_4	c,d	X
chr12	789442	789958	517	msh4_4	c	C
chr12	851299.5	853724	2425.5	msh4_4	a,b	M
chr12	876416	877912.5	1497.5	msh4_4	a,b	X
chr13	104131	104903	773	msh4_4	d,b	X
chr13	208385.5	209981	1596.5	msh4_4	c,a	X
chr13	461898.5	467089	5191.5	msh4_4	d,a	X
chr13	644513	647811	3299	msh4_4	b	C
chr13	716530	717173.5	644.5	msh4_4	b	C
chr13	852009.5	852289.75	281.25	msh4_4	a	C
chr14	308541	310285	1745	msh4_4	d	C
chr14	308541	313524	4984	msh4_4	c,b	X
chr14	404718.5	404884.5	167	msh4_4	c	C
chr14	470644	471495	852	msh4_4	a	C
chr14	480465	482470	2006	msh4_4	c	C
chr14	480465	482470	2006	msh4_4	d	C
chr14	636900.5	638131.5	1232	msh4_4	d	C
chr15	54125.5	55815.5	1691	msh4_4	b	C
chr15	662008.5	662108.5	NA	msh4_4	a,c	X
chr15	755068	759138.5	4071.5	msh4_4	a,c	X
chr16	78168.5	79553	1385.5	msh4_4	c	C
chr16	87740	88574.5	835.5	msh4_4	d,c	X
chr16	114774	115584.25	811.25	msh4_4	c	C
chr16	240812.5	244108	3296.5	msh4_4	c,b	X
chr16	254544.5	256053.5	1510	msh4_4	b,c	X
chr16	317845.5	322406.5	4562	msh4_4	a,b	X
chr16	370011	372252	2242	msh4_4	b,a	M
chr16	465255	465255	NA	msh4_4	a,d	X
chr16	556458	556925	468	msh4_4	b	C
chr16	562294.5	567856.5	5563	msh4_4	b	CC
chr16	563670.5	565927.5	2258	msh4_4	c	C
chr16	567856.5	568757.5	902	msh4_4	a	C
chr16	697810	699276.5	1467.5	msh4_4	c	C
chr16	751717	755029.5	3313.5	msh4_4	d	C
chr02	69419.5	69967.5	549	msh4_5	c	C
chr02	160918	164575.5	3658.5	msh4_5	d,b	X
chr02	164161.5	164575.5	415	msh4_5	c	C
chr02	501384	502962.5	1579.5	msh4_5	b	C
chr02	547342	551480.5	4139.5	msh4_5	c,d	X
chr02	596951	598679	1729	msh4_5	d	C
chr02	662835.5	663182	347.5	msh4_5	a	C
chr02	739726.5	740337.5	612	msh4_5	a	C
chr03	67472.5	69505	2033.5	msh4_5	a	C
chr03	210284	213384	3101	msh4_5	c,a	X
chr03	252135.5	252727.5	593	msh4_5	b	C
chr04	29612	34611.5	5000.5	msh4_5	c,a	X
chr04	57570.5	63014.5	5445	msh4_5	c,a	M
chr04	92628	94806.5	2179.5	msh4_5	a	C
chr04	104372	108709.5	4338.5	msh4_5	d	C
chr04	220215	224429.5	4215.5	msh4_5	b	C
chr04	311070	313561.5	2492.5	msh4_5	b,d	X
chr04	366286	367058.5	773.5	msh4_5	c	C
chr04	484711.5	487370.25	2659.75	msh4_5	d	C
chr04	556064.5	557135	1071.5	msh4_5	b,d	X
chr04	556064.5	559583.5	3520	msh4_5	c	C
chr04	630308.5	631772.5	1465	msh4_5	c,a	X
chr04	653708	657032	3325	msh4_5	c	C
chr04	841859.5	843335.5	1477	msh4_5	a,c	X
chr04	1273887	1275124	1238	msh4_5	c	C
chr04	1419076	1421853	2778	msh4_5	a	C
chr04	1497438.5	1498537.5	1100	msh4_5	b,c	X
chr05	186245	189380.5	3136.5	msh4_5	c	C
chr05	221850.5	222911.5	1062	msh4_5	d	C
chr06	75223.25	75787.5	565.25	msh4_5	d,c	X
chr06	130220	131934	1715	msh4_5	d	C
chr06	181109	182571.5	1463.5	msh4_5	a	C
chr06	201621.5	204436	2815.5	msh4_5	c	C
chr06	203343	204211	869	msh4_5	a	C
chr07	270837.5	275583.5	4747	msh4_5	d,a	M
chr07	428076.5	429087.5	1012	msh4_5	d,c	X
chr07	525008	528257	3250	msh4_5	a	C
chr07	637698.5	641257.5	3560	msh4_5	b	C
chr07	794510	796915.5	2406.5	msh4_5	b	C
chr07	798826.5	800932	2106.5	msh4_5	d	C
chr07	969649.5	970802.5	1154	msh4_5	d	C
chr07	1065297	1065297	NA	msh4_5	c,d	X
chr08	14261.5	15876	1615.5	msh4_5	b	C
chr08	55438	56733.5	1296.5	msh4_5	a	C
chr08	234974.25	234974.25	NA	msh4_5	c,d	X
chr08	313178	318312.5	5135.5	msh4_5	d,a	X
chr08	352854	354415.5	1562.5	msh4_5	c	C
chr08	489417	493868	4452	msh4_5	a,d	X
chr09	165760	168734	2975	msh4_5	c	C
chr09	238321	241679.5	3359.5	msh4_5	d,a	X
chr09	336453	339073	2621	msh4_5	c,a	X
chr09	395540.5	400414	4874.5	msh4_5	a,b	X
chr10	60762.75	60899.5	137.75	msh4_5	c	C
chr10	240974	241712.5	739.5	msh4_5	b	C
chr10	301351	304001.5	2651.5	msh4_5	d,a	X
chr10	338585.5	340307	1722.5	msh4_5	b	C
chr10	348433	353508.5	5076.5	msh4_5	d,c	M
chr10	447505	450827.5	3323.5	msh4_5	a,c	X
chr10	724602	726015.5	1414.5	msh4_5	a	C
chr11	32714.5	34269.5	1556	msh4_5	a,b	X
chr11	66996	69751	2756	msh4_5	a	C
chr11	229370.5	239551.5	10182	msh4_5	a,b	X
chr11	522022	524802	2781	msh4_5	d,b	X
chr11	612782.25	614722	1940.75	msh4_5	b,d	X
chr12	34273.5	36485.5	2213	msh4_5	d,b	X
chr12	85999.5	89452	3453.5	msh4_5	d,b	X
chr12	106041.5	108124	2083.5	msh4_5	c	C
chr12	106041.5	110338.5	4298	msh4_5	d	C
chr12	260060	260764	705	msh4_5	c	C
chr12	403024.5	404685.5	1662	msh4_5	c	C
chr12	643604.5	647438.5	3835	msh4_5	a	C
chr12	769747	772885.5	3139.5	msh4_5	a	C
chr12	829862.5	830165	303.5	msh4_5	c	C
chr12	839018.5	840955	1937.5	msh4_5	b,d	X
chr12	861459	863398	1940	msh4_5	b,c	X
chr12	950414.5	954053	3639.5	msh4_5	b,c	X
chr12	1001668	1002482.5	815.5	msh4_5	b	C
chr13	42646	45205.5	2560.5	msh4_5	c	C
chr13	74668	79814.25	5147.25	msh4_5	d,c	X
chr13	81617	85137.5	3521.5	msh4_5	b	C
chr13	167272	171855	4584	msh4_5	a,b	X
chr13	177736	178675	940	msh4_5	a	C
chr13	668044	668805.5	762.5	msh4_5	c	C
chr14	80221.5	81617.5	1397	msh4_5	d	C
chr14	251550.5	253176.5	1627	msh4_5	d	C
chr14	392313	393364.5	1052.5	msh4_5	c	C
chr14	487398	488265.5	868.5	msh4_5	d	C
chr14	578849	579625.5	777.5	msh4_5	c	C
chr14	652145.5	652554	409.5	msh4_5	c	C
chr14	732723	739212	6490	msh4_5	b,a	M
chr15	33823.5	35348	1525.5	msh4_5	b,d	X
chr15	43164	43655.25	492.25	msh4_5	a,c	X
chr15	216107.25	217209	1102.75	msh4_5	d	C
chr15	218344.5	219189	845.5	msh4_5	c	C
chr15	267608.5	268380.5	773	msh4_5	d	C
chr15	290577.5	291234	657.5	msh4_5	b	C
chr15	340134	340853.5	720.5	msh4_5	b,d	X
chr15	479901.5	484173.5	4273	msh4_5	a	CC
chr15	557404.5	571814.5	14411	msh4_5	c	C
chr15	746619.5	747842	1223.5	msh4_5	b	C
chr15	757485	758406.5	922.5	msh4_5	d	C
chr15	836036.5	837915.75	1880.25	msh4_5	a	C
chr15	1021864.5	1024891	3027.5	msh4_5	d,b	X
chr16	335142.5	336370.5	1229	msh4_5	d,b	X
chr16	898752	902990.5	4239.5	msh4_5	d	C
chr16	921064	924131	3068	msh4_5	c,d	X
chr01	58698.5	61249.5	2552	wt_1	c	C
chr01	60581.5	61180.5	600	wt_1	d,a	X
chr01	106451.5	106451.5	NA	wt_1	b,c	X
chr01	115048.5	116445	1397.5	wt_1	c	C
chr01	191228.5	193200	1972.5	wt_1	d	C
chr01	199396.5	199396.5	NA	wt_1	b,c	X
chr02	100365.5	103298.5	2934	wt_1	c,a	X
chr02	197002.5	197902	900.5	wt_1	d,c	X
chr02	294404.5	294404.5	NA	wt_1	b,a	X
chr02	380419.25	381178.5	760.25	wt_1	a,c	X
chr02	650685.5	652897	2212.5	wt_1	c	C
chr02	761860	761860	NA	wt_1	b,c	X
chr03	58514	62170	3657	wt_1	b,c	X
chr03	79600	81182	1583	wt_1	d	C
chr03	155998.5	156070	NA	wt_1	b,c	X
chr03	173599	173614.5	NA	wt_1	b,c	X
