chr,begin,end
chr3,137.98,139.383
chr3,139.383,140.046
chr3,144.182,145.174
chr3,145.174,147.361
chr3,147.361,148.609
chr3,148.609,150.164
chr3,151.002,151.612
chr3,153.469,155.322
chr3,155.322,157.06
chr3,168.935,169.296
chr3,169.296,170.863
chr3,173.949,175.643
chr3,175.643,178.398
chr3,178.398,180.348
chr3,180.857,182.103
chr3,182.103,183.168
chr3,183.168,183.995
chr3,184.826,185.335
chr3,192.526,194.119
chr3,194.119,194.794
chr3,195.876,196.674
chr4,8.299,8.551
chr4,13.157,14.681
chr4,15.362,15.903
chr4,15.903,17.192
chr4,17.707,19.93
chr4,19.93,22.204
chr4,22.204,24.262
chr4,24.262,24.904
chr4,24.904,25.998
chr4,36.067,37.635
chr4,37.635,38.488
chr4,39.881,41.061
chr4,41.061,41.779
chr4,41.779,42.5
chr4,42.5,44.522
chr4,54.082,54.771
chr4,54.771,56.022
chr4,66.381,68.395
chr4,68.395,69.043
chr4,72.124,74.489
chr4,74.489,77.005
chr4,80.05,81.356
chr4,81.356,83.71
chr4,84.811,85.861
chr4,85.861,86.239
chr4,86.239,87.871
chr4,87.871,88.212
chr4,90.381,91.407
chr4,96.831,99.535
chr4,100.207,101.226
chr4,101.226,102.626
chr4,104.477,106.753
chr4,106.753,107.595
chr4,107.595,109.001
chr4,111.909,113.425
chr4,113.921,115.044
chr4,119.634,120.127
chr4,120.127,120.49
chr4,120.907,121.35
chr4,121.35,122.197
chr4,134.427,135.656
chr4,140.58,141.435
chr4,142.41,144.612
chr4,146.762,147.231
chr4,147.231,147.799
chr4,149.008,149.723
chr4,149.723,151.352
chr4,151.352,152.292
chr4,152.292,152.619
chr4,156.728,158.25
chr4,158.25,160.046
chr4,167.146,168.597
chr4,175.58,177.363
chr4,177.363,178.606
chr4,188.024,189.438
chr4,189.438,191.235
chr5,1.576,2.807
chr5,2.807,3.629
chr5,3.629,5.474
chr5,5.474,6.768
chr5,10.406,11.958
chr5,11.958,14.196
chr5,31.568,32.493
chr5,32.493,33.477
chr5,36.881,37.407
chr5,37.407,39.109
chr5,39.109,40.874
chr5,40.874,41.905
chr5,49.996,50.716
chr5,50.716,52.129
chr5,52.129,52.883
chr5,53.645,54.639
chr5,60.654,61.635
chr5,61.635,63.495
chr5,64.099,64.852
chr5,65.928,68.43
chr5,72.148,72.895
chr5,72.895,74.201
chr5,78.846,79.586
chr5,85.949,86.597
chr5,86.597,87.601
chr5,87.601,88.219
chr5,88.219,89.742
chr5,89.742,90.715
chr5,90.715,92.931
chr5,96.294,98.105
chr5,98.293,99.81
chr5,99.81,102.114
chr5,109.055,110.456
chr5,121.327,122.14
chr5,122.876,124.111
chr5,124.111,125.946
chr5,129.271,130.625
chr5,143.532,145.551
chr5,157.221,158.569
chr5,159.779,160.909
chr5,160.909,162.771
chr5,167.647,168.939
chr5,168.939,170.223
chr6,0.24,0.638
chr6,3.971,4.718
chr6,5.205,6.995
chr6,8.053,10.529
chr6,13.933,15.35
chr6,16.868,18.103
chr6,18.103,20.324
chr6,21.772,24.458
chr6,38.788,39.338
chr6,39.338,39.852
chr6,39.852,41.148
chr6,45.45,47.553
chr6,47.553,49.539
chr6,49.539,50.769
chr6,50.769,52.333
chr6,70.567,71.18
chr6,76.367,78.414
chr6,78.414,79.844
chr6,80.375,80.719
chr6,80.719,83.017
chr6,83.017,83.833
chr6,84.623,85.535
chr6,86.41,87.918
chr6,91.063,91.356
chr6,96.095,97.477
chr6,105.414,106.547
chr6,106.547,106.894
chr6,106.894,107.921
chr6,110.13,110.608
chr6,112.298,114.401
chr6,114.401,116.529
chr6,119.709,121.696
chr6,121.696,122.763
chr6,122.763,124.169
chr6,124.169,125.33
chr6,125.33,126.156
chr6,126.156,127.627
chr6,128.884,130.088
chr6,133.175,134.316
chr6,134.316,135.418
chr6,146.331,147.566
chr6,151.639,153.056
chr6,159.211,160.119
chr6,163.119,163.809
chr6,163.809,166.043
chr6,166.043,167.354
chr6,167.354,168.048
chr6,168.617,169.969
chr6,170.527,170.773
chr7,0.986,1.329
chr7,1.329,2.163
chr7,3.116,4.451
chr7,8.088,10.756
chr7,10.756,12.296
chr7,12.296,13.804
chr7,20.598,21.244
chr7,21.244,22.171
chr7,23.344,24.792
chr7,24.792,26.014
chr7,26.014,26.687
chr7,27.992,29.003
chr7,30.411,32.302
chr7,32.95,35.066
chr7,35.066,35.613
chr7,37.265,38.721
chr7,38.721,39.438
chr7,39.438,42.06
chr7,42.06,42.739
chr7,42.739,43.559
chr7,45.385,47.401
chr7,47.401,47.848
chr7,47.848,49.953
chr7,50.635,51.161
chr7,70.039,71.732
chr7,79.41,80.197
chr7,80.197,81.716
chr7,81.716,82.409
chr7,82.944,85.112
chr7,85.112,86.422
chr7,87.177,89.387
chr7,89.871,91.207
chr7,91.207,92.109
chr7,92.109,93.765
chr7,110.8,111.439
chr7,112.172,113.331
chr7,113.331,115.429
chr7,120.184,120.632
chr7,120.632,122.118
chr7,122.118,122.986
chr7,122.986,124.166
chr7,124.166,126.88
chr7,127.76,128.423
chr7,140.857,141.999
chr7,154.897,156.184
chr7,156.184,158.131
chr8,8.785,9.451
chr8,15.434,16.928
chr8,16.928,17.314
chr8,17.314,17.823
chr8,20.085,21.833
chr8,23.45,25.096
chr8,28.362,29.286
chr8,29.286,30.071
chr8,33.554,35.188
chr8,48.335,49.037
chr8,52.975,53.789
chr8,60.195,61.593
chr8,64.243,65.443
chr8,67.741,68.419
chr8,75.047,77.754
chr8,77.754,79.562
chr8,87.412,89.408
chr8,89.408,90.806
chr8,92.129,93.183
chr8,94.828,95.65
chr8,97.575,98.727
chr8,105.674,107.349
chr8,109.526,110.412
chr8,117.839,119.195
chr8,119.195,119.699
chr8,119.699,120.938
chr8,127.64,128.871
chr8,128.871,131.523
chr8,131.523,132.987
chr8,134.635,135.915
chr8,135.915,136.535
chr8,142.388,143.484
chr9,0.489,0.83
chr9,0.83,2.006
chr9,2.006,2.846
chr9,6.747,8.837
chr9,13.273,14.313
chr9,15.499,16.858
chr9,19.22,20.614
chr9,20.614,21.79
chr9,21.79,23.814
chr9,26.941,27.564
chr9,27.564,29.203
chr9,69.602,71.757
chr9,77.022,77.882
chr9,79.418,81.533
chr9,83.826,85.593
chr9,85.593,85.95
chr9,86.199,87.337
chr9,88.229,89.134
chr9,89.343,91.209
chr9,93.296,93.876
chr9,98.644,99.659
chr9,106.703,107.127
chr9,107.127,108.979
chr9,121.442,122.107
chr9,122.107,122.773
chr9,122.773,123.12
chr9,123.12,123.772
chr9,125.1,125.55
chr9,133.317,133.964
chr10,0.999,3.1
chr10,15.944,16.484
chr10,21.862,22.645
chr10,23.048,23.767
chr10,27.571,28.862
chr10,28.862,29.704
chr10,29.704,30.068
chr10,30.068,30.706
chr10,30.706,31.649
chr10,61.339,62.208
chr10,62.208,63.329
chr10,76.861,79.459
chr10,79.459,80.492
chr10,80.492,82.156
chr10,82.156,83.627
chr10,83.627,86.078
chr10,86.078,88.271
chr10,89.613,90.333
chr10,91.449,92.617
chr10,96.116,97.311
chr10,98.581,99.152
chr10,105.101,105.717
chr10,106.125,108.913
chr10,108.913,111.217
chr10,111.217,111.709
chr10,111.709,112.315
chr10,120.951,121.345
chr10,124.902,126.099
chr10,126.099,126.472
chr10,126.472,126.837
chr10,128.584,129.889
chr10,129.889,131.156
chr10,131.156,131.827
chr10,131.827,133.526
chr11,0.901,1.348
chr11,20.577,22.17
chr11,27.484,28.087
chr11,30.561,31.347
chr11,54.788,57.15
chr11,63.703,64.269
chr11,69.794,70.642
chr11,75.206,75.77
chr11,77.97,78.829
chr11,85.456,86.423
chr11,86.423,87.709
chr11,87.709,89.011
chr11,89.011,89.61
chr11,89.61,91.596
chr11,91.596,92.915
chr11,94.608,95.15
chr11,100.062,101.488
chr11,101.488,102.485
chr11,102.485,103.541
chr11,103.541,105.454
chr11,105.454,106.937
chr11,109.682,110.979
chr11,113.434,114.88
chr11,116.52,117.629
chr11,120.826,122.031
chr12,1.988,2.772
chr12,5.398,6.183
chr12,25.019,25.298
chr12,25.298,26
chr12,26,26.969
chr12,41.007,42.487
chr12,42.487,43.897
chr12,43.897,44.41
chr12,48.963,50.077
chr12,50.626,51.685
chr12,52.356,52.96
chr12,56.55,57.604
chr12,60.936,61.614
chr12,61.614,62.525
chr12,62.525,63.085
chr12,63.854,64.505
chr12,64.505,64.862
chr12,64.862,65.759
chr12,68.923,70.344
chr12,81.583,83.891
chr12,87.041,88.608
chr12,95.296,97.403
chr12,97.403,99.097
chr12,101.016,102.825
chr12,111.31,112.122
chr12,113.612,115.182
chr12,123.996,126.46
chr12,126.46,127.261
chr12,127.261,127.855
chr13,23.047,23.375
chr13,24.177,24.767
chr13,24.767,25.708
chr13,26.644,27.096
chr13,30.089,30.632
chr13,30.632,31.335
chr13,31.335,32.051
chr13,34.411,35.824
chr13,36.539,37.822
chr13,40.779,41.434
chr13,42.462,43.258
chr13,43.258,44.043
chr13,44.583,44.934
chr13,72.183,73.618
chr13,73.618,75.014
chr13,75.014,76.801
chr13,76.801,78.135
chr13,78.135,78.952
chr13,78.952,79.816
chr13,90.796,92.675
chr13,92.675,94.047
chr13,94.047,94.765
chr13,95.504,97.428
chr13,97.428,98.651
chr13,106.023,107.671
chr13,107.671,109.232
chr14,24.587,26.135
chr14,26.135,28.309
chr14,32.477,34.472
chr14,35.361,36.735
chr14,36.735,38.691
chr14,38.691,41.144
chr14,44.501,47.215
chr14,47.215,49.236
chr14,52.702,54.042
chr14,54.042,54.563
chr14,56.911,57.737
chr14,63.271,63.919
chr14,64.927,66.045
chr14,74.25,74.723
chr15,23.244,23.667
chr15,23.667,24.571
chr15,24.571,26.241
chr15,29.948,30.655
chr15,30.655,31.339
chr15,33.07,33.625
chr15,33.625,34.661
chr15,34.661,35.177
chr15,35.177,36.334
chr15,36.334,38.001
chr15,39.664,40.359
chr15,43.638,46.256
chr15,47.237,48.433
chr15,50.759,51.845
chr15,54.999,56.839
chr15,63.876,64.372
chr15,68.186,68.872
chr15,89.401,90.199
chr15,90.199,91.226
chr15,91.226,92.575
chr15,92.575,94.681
chr15,94.681,96.899
chr16,1.603,2.011
chr16,9.091,10.357
chr16,11.968,12.813
chr16,12.813,13.917
chr16,13.917,14.629
chr16,24.943,27.477
chr16,45.474,46.052
chr16,46.052,46.82
chr16,49.712,51.723
chr16,54.068,54.783
chr16,70.404,71.65
chr16,74.236,76.689
chr16,76.689,78.177
chr16,80.766,82.73
chr16,86.082,86.545
chr17,8.84,9.421
chr17,9.421,10.047
chr17,10.047,11.854
chr17,11.854,12.632
chr17,12.632,13.912
chr17,13.912,15.528
chr17,15.528,16.06
chr17,22.805,23.392
chr17,28.233,30.484
chr17,50.333,52.378
chr17,53.444,54.124
chr17,61.732,62.794
chr17,68.818,69.708
chr17,72.643,73.452
chr18,0.803,2.591
chr18,5.621,6.405
chr18,7.557,8.598
chr18,8.598,9.092
chr18,9.092,9.608
chr18,17.574,18.768
chr18,22.376,24.011
chr18,27.776,28.307
chr18,28.307,29.409
chr18,29.409,30.058
chr18,30.058,30.82
chr18,31.412,31.962
chr18,37.788,40.512
chr18,40.512,41.51
chr18,41.933,42.78
chr18,43.035,43.714
chr18,43.714,44.319
chr18,45.272,45.979
chr18,50.006,51.421
chr18,51.421,52.464
chr18,53.863,54.494
chr18,54.684,55.718
chr18,55.718,58.004
chr18,64.534,66.024
chr18,66.024,68.687
chr18,68.687,69.963
chr18,71.057,72.368
chr18,72.983,74.913
chr19,36.537,37.528
chr19,38.253,38.704
chr19,38.704,39.355
chr20,2.774,3.395
chr20,5.055,5.539
chr20,6.056,8.058
chr20,8.058,8.993
chr20,10.364,10.601
chr20,10.601,11.82
chr20,11.82,13.148
chr20,13.908,16.503
chr20,16.503,17.463
chr20,20.65,21.036
chr20,21.036,23.348
chr20,30.808,31.541
chr20,39.681,41.511
chr20,44.903,45.548
chr20,54.476,55.361
chr20,59.277,60.071
chr21,16.025,17.805
chr21,33.066,33.525
chr21,34.915,36.426
chr21,36.426,37.29
chr21,43.175,43.903
chr21,45.79,46.569
chr22,24.136,25.313
chr22,32.641,33.974
chr22,42.086,42.605
chr22,42.605,43.378
chr22,43.378,43.725
chr22,47.207,48.564
